epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,151.305,0.9693,0.93773,1.18204,0.82587,0.61077,0.73816,0.37852,1.61253,1.27483,1.72245,0.00017825,0.00017825,0.00017825
67,154.016,0.96063,0.93849,1.181,0.87497,0.59506,0.75921,0.42298,1.5283,1.18287,1.63609,0.0001733,0.0001733,0.0001733
68,156.761,0.97613,0.95137,1.18864,0.87529,0.61356,0.76475,0.40655,1.5622,1.17636,1.65077,0.00016835,0.00016835,0.00016835
69,159.023,0.94519,0.91629,1.16135,0.88045,0.6241,0.76426,0.41095,1.53439,1.18772,1.63834,0.0001634,0.0001634,0.0001634
70,161.221,0.94303,0.91813,1.17095,0.90393,0.5952,0.76681,0.40943,1.56804,1.21775,1.67673,0.00015845,0.00015845,0.00015845
71,163.422,0.94628,0.91483,1.17391,0.70395,0.72866,0.75255,0.40441,1.54036,1.19902,1.65426,0.0001535,0.0001535,0.0001535
72,165.618,0.9225,0.90175,1.16274,0.85563,0.61057,0.7546,0.40996,1.5427,1.1729,1.66204,0.00014855,0.00014855,0.00014855
73,167.831,0.9712,0.93118,1.18854,0.58918,0.76243,0.74509,0.41185,1.51384,1.1563,1.6311,0.0001436,0.0001436,0.0001436
74,170.022,0.94122,0.91941,1.16987,0.72198,0.75359,0.75954,0.41414,1.52996,1.13834,1.63001,0.00013865,0.00013865,0.00013865
75,172.225,0.95484,0.92793,1.16403,0.80984,0.72716,0.76163,0.41549,1.53819,1.16281,1.65867,0.0001337,0.0001337,0.0001337
76,174.437,0.92961,0.87104,1.15399,0.79376,0.74477,0.77713,0.42566,1.57145,1.17067,1.67856,0.00012875,0.00012875,0.00012875
77,176.691,0.92709,0.8713,1.14976,0.82154,0.71979,0.77197,0.42587,1.52245,1.15705,1.64475,0.0001238,0.0001238,0.0001238
